ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
1042,567.0,90.0,573.0,626.0,1115.0,764.0,512.0,674.0,605.0,640.0,630.0,716.0,871.0,1404.0,601.0,fluidanimate
691,402.0,108.0,377.0,1015.0,441.0,555.0,365.0,399.0,314.0,511.0,1378.0,444.0,460.0,468.0,359.0,fluidanimate
1357,495.0,87.0,518.0,562.0,593.0,781.0,495.0,504.0,566.0,683.0,596.0,1411.0,806.0,659.0,595.0,fluidanimate
600,374.0,68.0,317.0,357.0,589.0,521.0,334.0,356.0,351.0,413.0,367.0,399.0,426.0,1213.0,396.0,fluidanimate
928,563.0,33.0,608.0,606.0,627.0,726.0,506.0,500.0,623.0,558.0,571.0,631.0,983.0,709.0,1008.0,fluidanimate
598,368.0,42.0,375.0,498.0,403.0,505.0,1032.0,316.0,417.0,426.0,336.0,400.0,544.0,450.0,422.0,fluidanimate
1148,1393.0,75.0,611.0,635.0,633.0,752.0,493.0,927.0,661.0,622.0,680.0,625.0,908.0,769.0,684.0,fluidanimate
708,408.0,69.0,677.0,397.0,423.0,634.0,371.0,450.0,425.0,1070.0,447.0,497.0,519.0,561.0,473.0,fluidanimate
1045,506.0,25.0,563.0,581.0,559.0,1049.0,512.0,575.0,961.0,664.0,565.0,560.0,860.0,639.0,595.0,fluidanimate
739,342.0,69.0,676.0,363.0,345.0,565.0,318.0,475.0,372.0,1037.0,352.0,509.0,610.0,405.0,417.0,fluidanimate
2239,909.0,997.0,1032.0,1504.0,1043.0,1418.0,927.0,1737.0,998.0,1497.0,965.0,1565.0,1026.0,1740.0,920.0,fluidanimate
624,380.0,51.0,357.0,386.0,433.0,390.0,395.0,390.0,382.0,413.0,432.0,1354.0,410.0,431.0,395.0,fluidanimate
1052,500.0,8.0,483.0,548.0,578.0,541.0,464.0,491.0,516.0,481.0,552.0,587.0,608.0,616.0,462.0,fluidanimate
666,346.0,35.0,333.0,381.0,411.0,381.0,392.0,330.0,329.0,395.0,440.0,433.0,402.0,476.0,1079.0,fluidanimate
1044,494.0,26.0,504.0,574.0,534.0,470.0,737.0,528.0,562.0,566.0,590.0,546.0,553.0,653.0,563.0,fluidanimate
651,346.0,14.0,330.0,381.0,354.0,400.0,407.0,360.0,413.0,457.0,380.0,386.0,444.0,412.0,438.0,fluidanimate
999,569.0,60.0,613.0,647.0,617.0,650.0,643.0,593.0,576.0,610.0,611.0,585.0,633.0,1952.0,645.0,fluidanimate
609,355.0,48.0,355.0,679.0,389.0,453.0,426.0,423.0,392.0,424.0,1350.0,415.0,428.0,451.0,477.0,fluidanimate
1420,512.0,38.0,520.0,593.0,571.0,573.0,584.0,591.0,634.0,578.0,646.0,1163.0,564.0,670.0,599.0,fluidanimate
607,367.0,36.0,335.0,335.0,574.0,373.0,409.0,371.0,343.0,345.0,445.0,357.0,320.0,784.0,372.0,fluidanimate
1026,494.0,49.0,586.0,566.0,579.0,571.0,462.0,566.0,549.0,498.0,615.0,518.0,934.0,566.0,956.0,fluidanimate
626,311.0,22.0,351.0,343.0,363.0,311.0,796.0,336.0,314.0,369.0,420.0,317.0,355.0,337.0,402.0,fluidanimate
1131,859.0,38.0,567.0,590.0,637.0,512.0,600.0,833.0,646.0,507.0,685.0,592.0,605.0,587.0,518.0,fluidanimate
698,349.0,33.0,428.0,373.0,446.0,387.0,409.0,431.0,454.0,679.0,460.0,444.0,444.0,405.0,412.0,fluidanimate
1186,570.0,44.0,611.0,585.0,615.0,1292.0,542.0,612.0,980.0,569.0,722.0,659.0,632.0,564.0,604.0,fluidanimate
613,338.0,32.0,504.0,340.0,400.0,347.0,355.0,358.0,312.0,552.0,472.0,413.0,410.0,377.0,318.0,fluidanimate
1338,537.0,426.0,645.0,871.0,733.0,671.0,458.0,525.0,350.0,608.0,583.0,575.0,789.0,968.0,614.0,fluidanimate
356,113.0,23.0,211.0,306.0,238.0,225.0,190.0,91.0,86.0,198.0,237.0,300.0,364.0,187.0,255.0,fluidanimate
425,153.0,5.0,245.0,371.0,333.0,250.0,195.0,74.0,132.0,154.0,329.0,195.0,472.0,212.0,265.0,fluidanimate
321,150.0,24.0,216.0,316.0,290.0,177.0,201.0,83.0,122.0,164.0,262.0,157.0,320.0,168.0,448.0,fluidanimate
444,188.0,17.0,260.0,408.0,374.0,231.0,321.0,105.0,186.0,227.0,378.0,184.0,526.0,314.0,335.0,fluidanimate
415,148.0,17.0,228.0,292.0,258.0,174.0,203.0,85.0,149.0,208.0,293.0,121.0,469.0,262.0,298.0,fluidanimate
489,171.0,25.0,331.0,341.0,317.0,220.0,195.0,83.0,164.0,207.0,389.0,149.0,507.0,646.0,294.0,fluidanimate
373,113.0,19.0,209.0,376.0,230.0,221.0,141.0,62.0,97.0,198.0,451.0,103.0,343.0,227.0,227.0,fluidanimate
460,143.0,19.0,253.0,367.0,319.0,249.0,164.0,78.0,189.0,206.0,323.0,216.0,447.0,262.0,303.0,fluidanimate
260,118.0,25.0,179.0,237.0,293.0,206.0,152.0,82.0,102.0,152.0,184.0,174.0,310.0,306.0,196.0,fluidanimate
406,201.0,24.0,267.0,363.0,336.0,235.0,253.0,80.0,126.0,220.0,332.0,231.0,530.0,254.0,527.0,fluidanimate
259,177.0,16.0,210.0,322.0,284.0,181.0,240.0,75.0,111.0,146.0,240.0,160.0,360.0,222.0,278.0,fluidanimate
401,314.0,16.0,274.0,417.0,347.0,220.0,258.0,89.0,203.0,200.0,391.0,199.0,437.0,303.0,320.0,fluidanimate
373,177.0,27.0,206.0,321.0,268.0,227.0,218.0,122.0,179.0,231.0,333.0,150.0,354.0,309.0,312.0,fluidanimate
557,163.0,26.0,247.0,454.0,298.0,448.0,217.0,92.0,171.0,203.0,369.0,164.0,502.0,320.0,321.0,fluidanimate
356,136.0,23.0,244.0,315.0,285.0,235.0,165.0,93.0,97.0,295.0,329.0,111.0,364.0,221.0,262.0,fluidanimate
